Rank,Product Name,Total Profit,_Percent Of Accued Profit 2016
92,12 Colored Short Pencils,42.260000000000005,99.6%
44,1726 Digital Answering Machine,252.21159999999995,95.4%
50,"210 Trimline Phone, White",195.3633,96.3%
37,"24 Capacity Maxi Data Binder Racks, Pearl",463.21000000000004,93.3%
7,300 Series Non-Flip,4086.754,61.9%
82,3Max Organizer Strips,71.84400000000001,99.2%
5,"3Max Polarizing Task Lamp with Clamp Arm, Light Gray",4735.5156,55.2%
10,600 Series Flip,2708.6055999999994,69.3%
22,600 Series Non-Flip,994.1060000000001,84.9%
2,Adesso Programmable 142-Key Keyboard,19574.285599999996,36.4%
19,Airmail Envelopes,1229.4317000000003,82.5%
89,Alto Memo Cubes,51.330799999999996,99.5%
54,"Alto Parchment Paper, Assorted Colors",167.48640000000006,96.9%
21,Alto Perma 2700 Stacking Storage Drawers,1057.6604,84.1%
28,Aluminum Document Frame,800.7698,88.9%
11,Ames Color-File Green Diamond Border X-ray Mailers,2448.6552,71.2%
52,"Angle-D Binders with Locking Rings, Label Holders",172.04499999999996,96.6%
49,Apex Box Cutter Scissors,204.2519,96.2%
55,Apex Forged Steel Scissors with Black Enamel Handles,166.05750000000003,97.0%
40,Apex Preferred Stainless Steel Scissors,395.2232,94.3%
18,Apex Straight Scissors,1283.3152,81.5%
103,Artisan 474 Labels,22.367999999999995,99.9%
87,Artisan 478 Labels,60.9333,99.5%
67,Artisan 479 Labels,102.15359999999997,98.2%
53,Artisan 48 Labels,167.805,96.7%
83,Artisan 481 Labels,67.17240000000001,99.3%
81,Artisan 487 Labels,73.40969999999999,99.1%
65,Artisan Binder Labels,116.5762,98.0%
75,Artisan Binding System Hidden Tab Executive Style Index Sets,84.83999999999997,98.8%
60,Artisan Durable Binders,141.2864,97.6%
106,Artisan File Folder Labels,17.683199999999996,99.9%
33,"Artisan Flip-Chart Easel Binder, Black",633.8619999999999,91.6%
72,Artisan Hanging File Binders,94.26540000000003,98.6%
102,Artisan Heavy-Duty EZD  Binder With Locking Rings,22.4276,99.9%
95,"Artisan Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",32.323499999999996,99.7%
90,"Artisan Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",48.44239999999999,99.6%
85,Artisan Hi-Liter Smear-Safe Highlighters,62.568,99.4%
71,Artisan Hole Reinforcements,97.97130000000001,98.5%
39,Artisan Legal 4-Ring Binder,419.7916,94.0%
73,Artisan Poly Binder Pockets,86.70680000000002,98.7%
111,Artisan Printable Repositionable Plastic Tabs,8.777999999999999,100.0%
112,Artisan Reinforcements for Hole-Punch Pages,7.816800000000001,100.0%
88,Assorted Color Push Pins,54.7252,99.5%
46,Bagged Rubber Bands,212.76,95.7%
105,Barrel Sharpener,20.743,99.9%
14,Beekin 105-Key Black Keyboard,2045.3472000000002,76.3%
32,Beekin 6 Outlet Metallic Surge Strip,658.7502000000002,91.1%
113,Binder Clips by OIC,1.206,100.0%
66,Binder Posts,102.93500000000002,98.1%
41,Brown Kraft Recycled Envelopes,392.65020000000015,94.6%
1,Cando PC940 Copier,27098.5996,21.1%
16,Cando S750 Color Inkjet Printer,1930.74,79.4%
59,Col-Erase Pencils with Erasers,142.7664,97.4%
78,Colored Envelopes,81.30959999999999,99.0%
108,Colored Push Pins,15.996200000000002,100.0%
101,"Creator Anti Dust Chalk, 12/Pack",25.56,99.9%
23,Deluxe Rollaway Locking File with Drawer,881.6591999999999,85.6%
30,"DrawIt Colored Pencils, 48-Color Set",699.8325,90.0%
